2	51	3.733741
2	52	3.666446
2	53	3.654928
2	54	3.616898
2	55	3.563351
2	56	3.415189
2	57	3.402451
2	58	3.302770
2	59	3.278371
2	60	3.260839
2	61	3.239109
2	62	3.224784
2	63	3.219891
2	64	3.210238
2	65	3.203195
2	66	3.172855
2	67	3.171553
2	68	3.124498
2	69	3.095798
2	70	3.090876
2	71	3.086186
2	72	3.080992
2	73	3.075727
2	74	3.070084
2	75	3.046334
2	76	3.043878
2	77	2.998286
2	78	2.998101
2	79	2.973527
2	80	2.969972
2	81	2.965181
2	82	2.948775
2	83	2.932525
2	84	2.921005
2	85	2.897372
2	86	2.886720
2	87	2.878035
2	88	2.876526
2	89	2.867867
2	90	2.855306
2	91	2.846431
2	92	2.839017
2	93	2.837906
2	94	2.828338
2	95	2.825479
2	96	2.819405
2	97	2.817945
2	98	2.816480
2	99	2.815892
2	100	2.811455
3	101	3.713283
3	102	2.543094
3	103	2.427917
3	104	2.375421
3	105	2.349190
3	106	2.298578
3	107	2.191443
3	108	2.140414
3	109	2.104096
3	110	2.104096
3	111	2.098621
3	112	2.062047
3	113	2.049750
3	114	2.005721
3	115	1.996288
3	116	1.974195
3	117	1.966545
3	118	1.942653
3	119	1.942653
3	120	1.893111
3	121	1.847006
3	122	1.836378
3	123	1.821743
3	124	1.802645
3	125	1.798711
3	126	1.782567
3	127	1.761403
3	128	1.761403
3	129	1.748132
3	130	1.743607
3	131	1.739029
3	132	1.734396
3	133	1.734396
3	134	1.705387
3	135	1.705387
3	136	1.700336
3	137	1.695220
3	138	1.679455
3	139	1.679455
3	140	1.674055
3	141	1.668581
3	142	1.668581
3	143	1.668581
3	144	1.663028
3	145	1.657396
3	146	1.651681
3	147	1.651681
3	148	1.645882
3	149	1.645882
3	150	1.639996
4	51	2.126973
4	53	2.557013
4	64	2.365324
4	65	2.235286
4	70	2.335385
4	72	3.332710
4	77	2.342348
4	151	2.935786
4	152	2.778260
4	153	2.664461
4	154	2.629613
4	155	2.605705
4	156	2.588213
4	157	2.582383
4	158	2.580777
4	159	2.578087
4	160	2.571554
4	161	2.524968
4	162	2.451741
4	163	2.405076
4	164	2.396585
4	165	2.388782
4	166	2.387905
4	167	2.353047
4	168	2.350158
4	169	2.330334
4	170	2.311591
4	171	2.304053
4	172	2.245520
4	173	2.223443
4	174	2.216706
4	175	2.213978
4	176	2.212607
4	177	2.212607
4	178	2.205678
4	179	2.184126
4	180	2.172127
4	181	2.170601
4	182	2.169069
4	183	2.167531
4	184	2.158173
4	185	2.146965
4	186	2.140414
4	187	2.118331
4	188	2.114821
4	189	2.094928
4	190	2.091200
4	191	2.079798
4	192	2.070036
4	193	2.062047
5	53	2.037053
5	154	2.656146
5	173	2.148586
5	182	2.116580
5	190	2.629613
5	194	2.605705
5	195	2.549535
5	196	2.517476
5	197	2.394001
5	198	2.393136
5	199	2.320032
5	200	2.279369
5	201	2.239155
5	202	2.231378
5	203	2.216706
5	204	2.211231
5	205	2.200046
5	206	2.185600
5	207	2.176670
5	208	2.170601
5	209	2.165986
5	210	2.128678
5	211	2.116580
5	212	2.094928
5	213	2.093068
5	214	2.089323
5	215	2.068054
5	216	2.060024
5	217	2.045563
5	218	2.043453
5	219	2.030547
5	220	2.012650
5	221	1.991485
